line_id,line_name,line_routes,line_pattern,color,municipality_id
1001,Alfragide (Estr Seminario) - Reboleira (Estação),['1001_0'],"['1001_0_2', '1001_0_1']",#C61D23,['1115']
1002,Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul),['1002_0'],['1002_0_3'],#C61D23,['1115']
1003,Amadora (Estação Norte) - Amadora Este (Metro),['1003_0'],"['1003_0_2', '1003_0_1']",#C61D23,['1115']
1004,Amadora (Estação Norte) via Moinhos da Funcheira | Circular,['1004_0'],['1004_0_3'],#C61D23,['1115']
1005,Amadora (Estação Norte) - UBBO,"['1005_2', '1005_1', '1005_0']","['1005_2_3', '1005_1_2', '1005_0_2', '1005_0_1']",#C61D23,['1115']
1006,Amadora (Estação Norte) - UBBO | Noturna,"['1006_1', '1006_0']","['1006_1_2', '1006_1_1', '1006_0_2', '1006_0_1']",#C61D23,['1115']
1008,Amadora Este (Metro) | Circular,['1008_0'],['1008_0_3'],#3D85C6,['1115']
1009,Amadora (Hospital) Via Mina e Venteira | Circular,['1009_0'],['1009_0_3'],#3D85C6,"['1115', '1111']"
1010,Brandoa (Pólo Escola) - Casal da Mira,['1010_0'],"['1010_0_2', '1010_0_1']",#C61D23,['1115']
1011,Brandoa (Largo) - Reboleira (Metro),"['1011_1', '1011_0']","['1011_1_3', '1011_0_2', '1011_0_1']",#C61D23,['1115']
1012,Alfornelos Metro via Brandoa | Circular,['1012_0'],['1012_0_3'],#3D85C6,['1115']
1013,Amadora (Cemitério) - Atalaia (Escola Secundária) via Casas do Lago,['1013_0'],"['1013_0_2', '1013_0_1']",#C61D23,['1115']
1014,Amadora (Cemitério) - Vila Chã via Casas do Lago,['1014_0'],"['1014_0_2', '1014_0_1']",#C61D23,['1115']
1015,Reboleira (Estação) via Damaia | Circular,['1015_0'],['1015_0_3'],#3D85C6,['1115']
1101,Alfragide (Centro Comercial) - Algés (Estação),"['1101_1', '1101_0']","['1101_1_2', '1101_1_1', '1101_0_2', '1101_0_1']",#C61D23,['1110']
1103,Algés (Estação) - Queijas (PSP),['1103_0'],"['1103_0_2', '1103_0_1']",#C61D23,['1110']
1105,Algés (Estação) - Queluz Baixo (Centro Comercial),"['1105_1', '1105_0']","['1105_1_2', '1105_1_1', '1105_0_2', '1105_0_1']",#C61D23,['1110']
1106,Queluz Baixo (Centro Comercial) - Algés (Estação),"['1106_1', '1106_0']","['1106_1_2', '1106_1_1', '1106_0_2']",#C61D23,['1110']
1107,Algés (Estação) - Queluz Baixo via Queijas,['1107_0'],"['1107_0_2', '1107_0_1']",#C61D23,['1110']
1109,Carnaxide via Outurela | Circular,['1109_0'],['1109_0_3'],#3D85C6,['1110']
1110,Carnaxide via Queijas | Circular,['1110_0'],['1110_0_3'],#C61D23,['1110']
1111,Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora),['1111_0'],"['1111_0_2', '1111_0_1']",#C61D23,['1110']
1113,Algés (Estação) via Cruz Quebrada e Linda-a-Velha | Circular,['1113_0'],['1113_0_3'],#3D85C6,['1110']
1114,Algés (Estação) via Linda-a-Velha e Miraflores | Circular,['1114_0'],['1114_0_3'],#3D85C6,['1110']
1115,Caxias (Ped Italiana) - Lage (Centro),"['1115_4', '1115_3', '1115_2', '1115_1', '1115_0']","['1115_4_2', '1115_3_2', '1115_3_1', '1115_2_2', '1115_2_1', '1115_1_2', '1115_1_1', '1115_0_2', '1115_0_1']",#C61D23,['1110']
1117,Caxias (Qta Moura) - Lage (Centro),"['1117_3', '1117_2', '1117_1', '1117_0']","['1117_3_2', '1117_3_1', '1117_2_2', '1117_2_1', '1117_1_2', '1117_1_1', '1117_0_2', '1117_0_1']",#C61D23,['1110']
1119,Leceia (Sociedade) - Paço De Arcos (Estação Norte),"['1119_1', '1119_0']","['1119_1_2', '1119_1_1', '1119_0_2', '1119_0_1']",#C61D23,['1110']
1120,Oeiras (Estação Norte) - Paço De Arcos (Estação Norte),['1120_0'],"['1120_0_2', '1120_0_1']",#3D85C6,['1110']
1121,Oeiras via Piscina Oceânica | Circular,['1121_0'],['1121_0_3'],#C61D23,['1110']
1122,Bº Joaquim Matias - Caxias (Ped Italiana),['1122_0'],"['1122_0_2', '1122_0_1']",#C61D23,['1110']
1123,Paço De Arcos (Estação Norte) - Porto Salvo (Lagoas Park),"['1123_1', '1123_0']","['1123_1_2', '1123_0_2', '1123_0_1']",#C61D23,['1110']
1124,Paço de Arcos | Circular,['1124_0'],['1124_0_3'],#3D85C6,['1110']
1125,Porto Salvo via Leião e Lage | Circular,['1125_0'],['1125_0_3'],#C61D23,['1110']
1201,Terrugem (Escola) | Circular,['1201_0'],['1201_0_3'],#3D85C6,['1111']
1204,Alto do Forte (Centro Comercial) – Circular,"['1204_2', '1204_1', '1204_0']","['1204_2_2', '1204_2_1', '1204_1_3', '1204_0_3']",#3D85C6,['1111']
1205,Algueirão-Mem Martins (Estação) - Mem Martins (Esc Secundária) via Hospital,['1205_0'],"['1205_0_2', '1205_0_1']",#3D85C6,['1111']
1206,Algueirão-Mem Martins (Estação) - Portela de Sintra (Estação) via Tribunal e Hospital,"['1206_1', '1206_0']","['1206_1_2', '1206_1_1', '1206_0_2', '1206_0_1']",#C61D23,['1111']
1208,Almargem Bispo (Cemitério) - Portela de Sintra (Estação Norte) via Hospital,['1208_0'],"['1208_0_2', '1208_0_1']",#C61D23,['1111']
1209,Bairro da Felosa - Mira Sintra (Mercado) via Cemitério,"['1209_1', '1209_0']","['1209_1_2', '1209_1_1', '1209_0_2', '1209_0_1']",#C61D23,['1111']
1210,Bairro Fitares - Mem Martins (Esc Secundária),['1210_0'],"['1210_0_2', '1210_0_1']",#3D85C6,['1111']
1211,Belas (Samaritana) - Agualva-Cacém (Estação),['1211_0'],"['1211_0_2', '1211_0_1']",#C61D23,['1111']
1212,Venda Seca - Queluz (Estação),['1212_0'],"['1212_0_2', '1212_0_1']",#C61D23,['1111']
1213,Bº Joaquim Fontes (Centro Comercial) - Agualva-Cacém (Estação),['1213_0'],"['1213_0_2', '1213_0_1']",#C61D23,['1111']
1215,Agualva-Cacém (Estação) via Encosta S. Marcos | Circular,['1215_0'],['1215_0_3'],#C61D23,['1111']
1216,Tercena (Estação) via São Marcos Taguspark (Novo Banco) e Casal do Cotão | Circular,"['1216_1', '1216_0']","['1216_1_3', '1216_0_3']",#3D85C6,"['1111', '1110']"
1217,Agualva-Cacém (Estação) - Massamá (Urbanização Norte),['1217_0'],"['1217_0_2', '1217_0_1']",#C61D23,['1111']
1218,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Bomb Vol,['1218_0'],"['1218_0_2', '1218_0_1']",#C61D23,['1111']
1219,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Santa Maria,['1219_0'],"['1219_0_2', '1219_0_1']",#C61D23,['1111']
1220,Agualva-Cacém (Estação) via S. Marcos (Largo) | Circular,['1220_0'],['1220_0_3'],#C61D23,['1111']
1221,Agualva-Cacém (Estação) via Lopas | Circular,['1221_0'],"['1221_0_2', '1221_0_1']",#3D85C6,['1111']
1222,Agualva-Cacém (Estação) via Bairro Joaquim Fontes | Circular,['1222_0'],['1222_0_3'],#3D85C6,['1111']
1223,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul),"['1223_2', '1223_1', '1223_0']","['1223_2_2', '1223_2_1', '1223_1_2', '1223_1_1', '1223_0_2', '1223_0_1']",#C61D23,['1111']
1224,Belas Clube Campo - Monte Abraão (Estação) via Carregueira (Estabelecimento Prisional),['1224_0'],"['1224_0_2', '1224_0_1']",#C61D23,['1111']
1225,Agualva-Cacém (Estação) Via Enc. S. Marcos Univ Católica e Bela Vista | Circular,['1225_0'],['1225_0_3'],#C61D23,"['1111', '1110']"
1226,Massamá (Casal Olival) - Queluz - Belas (Estação),['1226_0'],"['1226_0_2', '1226_0_1']",#3D85C6,['1111']
1228,Massamá-Barcarena (Estação Norte) via Belas | Circular,['1228_0'],['1228_0_3'],#C61D23,['1111']
1229,Massamá-Barcarena (Estação Norte) via Quinta das Flores | Circular,['1229_0'],['1229_0_3'],#3D85C6,['1111']
1230,Monte Abraão (Estação) | Circular,['1230_0'],"['1230_0_2', '1230_0_1']",#3D85C6,['1111']
1231,Mem Martins (Esc. Ferreira Castro) - Coutinho Afonso,['1231_0'],"['1231_0_2', '1231_0_1']",#C61D23,['1111']
1232,Rio de Mouro (Estação Sul) via Mem Martins | Circular,['1232_0'],['1232_0_3'],#C61D23,['1111']
1233,Agualva-Cacém (Estação) Via Bela Vista Univ Católica e Enc. S. Marcos| Circular,['1233_0'],['1233_0_3'],#C61D23,"['1111', '1110']"
1234,São Pedro Sintra (Chão Meninos) - Mira Sintra (Junta Freguesia),['1234_0'],"['1234_0_2', '1234_0_1']",#C61D23,['1111']
1235,Covas Ferro - Mercês (Estação Norte),['1235_0'],"['1235_0_2', '1235_0_1']",#C61D23,['1111']
1236,Alto do Forte (Centro Comercial) - Queluz - Belas (Estação),['1236_0'],"['1236_0_2', '1236_0_1']",#C61D23,['1111']
1240,Negrais (Soc Recreativa) - Portela Sintra (Estação Norte),['1240_0'],"['1240_0_2', '1240_0_1']",#C61D23,['1111']
1241,Almoçageme (Mercado) - Hospital de Sintra,['1241_0'],"['1241_0_2', '1241_0_1']",#C61D23,['1111']
1242,Casais Cabrela (Largo) - Almoçageme (Mercado),['1242_0'],"['1242_0_2', '1242_0_1']",#C61D23,['1111']
1244,Casal de Cambra (Escola) - Portela de Sintra (Estação Norte) via Hospital,['1244_0'],"['1244_0_2', '1244_0_1']",#C61D23,['1111']
1245,Catribana (Largo) - Portela Sintra (Estação Norte),['1245_0'],"['1245_0_2', '1245_0_1']",#C61D23,['1111']
1247,Fontanelas - Portela de Sintra (Estação) via Janas,['1247_0'],"['1247_0_2', '1247_0_1']",#C61D23,['1111']
1248,Portela Sintra (Estação Norte) - Praia Maçãs (Mercado),"['1248_1', '1248_0']","['1248_1_2', '1248_1_1', '1248_0_2', '1248_0_1']",#C61D23,['1111']
1249,Portela Sintra (Estação Norte) - Magoito (Praia),['1249_0'],"['1249_0_2', '1249_0_1']",#C61D23,['1111']
1250,Portela Sintra (Estação Norte) - Praia Grande,['1250_0'],"['1250_0_2', '1250_0_1']",#C61D23,['1111']
1251,Portela Sintra (Estação Sul) - Rio De Mouro (Estação Sul),"['1251_3', '1251_2', '1251_1', '1251_0']","['1251_3_3', '1251_2_2', '1251_2_1', '1251_1_2', '1251_0_2', '1251_0_1']",#C61D23,['1111']
1252,Portela Sintra (Estação Sul) via Ranholas | Circular,"['1252_1', '1252_0']","['1252_1_3', '1252_0_3']",#3D85C6,['1111']
1253,Sintra (Estação) via Cabo da Roca | Circular,['1253_0'],['1253_0_3'],#C61D23,['1111']
1254,Portela Sintra (Estação Norte) - Magoito (Praia),['1254_0'],"['1254_0_2', '1254_0_1']",#C61D23,['1111']
1255,Rebanque - Portela Sintra (Estação Norte),['1255_0'],"['1255_0_2', '1255_0_1']",#C61D23,['1111']
1501,Reboleira (Estação) | Circular via Alfragide (Zona Industrial e Centro comercial),['1501_0'],['1501_0_3'],#3D85C6,"['1115', '1110']"
1502,Algés (Estação) - Amadora (Estação Sul) via Linda-a-Velha,['1502_0'],"['1502_0_2', '1502_0_1']",#C61D23,"['1110', '1115']"
1503,Algés (Estação) - Bº Zambujal,"['1503_1', '1503_0']","['1503_1_2', '1503_1_1', '1503_0_2', '1503_0_1']",#C61D23,"['1110', '1115']"
1504,Algés (Estação) - Bº Zambujal,['1504_0'],"['1504_0_2', '1504_0_1']",#C61D23,"['1110', '1115']"
