stop_id,stop_code,stop_name,stop_lat,stop_lon,routes,district_id,patterns,municipality_id
010001,,Rua Carlos Manuel Rodrigues Francisco ( Escola ),38.754244,-8.959557,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010002,,Rua Carlos M. Francisco 229 ( Escola Monte Novo ),38.754572,-8.959615,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010005,,Alcochete ( Rua Ciprião Figueiredo ),38.754175,-8.961806,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010007,,Alcochete ( Rua Leite Cunha ) Biblioteca,38.753196,-8.963687,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010008,,Alcochete ( Rua Leite Cunha ) Biblioteca,38.753271,-8.963504,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010009,,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,38.750706,-8.962749,"{4001_0, 4002_0, 4501_0, 4501_1, 4504_0, 4512_0, 4512_1, 4513_0, 4600_0, 4600_1, 4702_0}",15,"{4001_0_3, 4002_0_3, 4501_0_1, 4501_1_1, 4504_0_2, 4512_0_1, 4512_1_1, 4513_0_1, 4600_0_1, 4600_1_1, 4702_0_1}",1502
010010,,Alcochete ( Avenida Restauração ) Escola Básica Manuel Primeiro,38.751002,-8.962783,"{4001_0, 4002_0, 4501_0, 4501_1, 4504_0, 4512_0, 4512_1, 4513_0, 4600_0, 4600_1, 4702_0}",15,"{4001_0_3, 4002_0_3, 4501_0_2, 4501_1_2, 4504_0_1, 4512_0_2, 4512_1_2, 4513_0_2, 4600_0_2, 4600_1_2, 4702_0_2}",1502
010011,,Alcochete ( Rua José Grilo Evangelista ),38.748855,-8.962159,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010012,,Alcochete ( Rua José Grilo Evangelista ),38.748866,-8.961929,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010013,,Alcochete ( Rua Cooperação 27 ),38.748733,-8.966155,{4001_0},15,{4001_0_3},1502
010014,,Alcochete ( Rua Cooperação 27 ),38.7487,-8.965973,{4001_0},15,{4001_0_3},1502
010015,,Alcochete ( Rua Liberdade ) Escola Valbom,38.748758,-8.967106,{4001_0},15,{4001_0_3},1502
010016,,Alcochete ( Rua Liberdade ) Escola Valbom,38.749364,-8.966956,{4001_0},15,{4001_0_3},1502
010017,,Alcochete ( Avenida Dom Manuel Primeiro 25 ),38.750122,-8.96804,{4001_0},15,{4001_0_3},1502
010018,,Alcochete ( Avenida Dom Manuel Primeiro 25 ),38.749981,-8.967987,{4001_0},15,{4001_0_3},1502
010019,,Álcochete ( Avenida Infante Dom João ) Praia Moinhos,38.748365,-8.970791,{4001_0},15,{4001_0_3},1502
010021,,Passeio Caravelas ( Fórum Alcochete ),38.746655,-8.971506,{4001_0},15,{4001_0_3},1502
010023,,Alcochete ( Rua 25 De Abril Número 8 ),38.747993,-8.969371,{4001_0},15,{4001_0_3},1502
010025,,Alcochete ( Rua Maria Teresa Noronha ),38.75266,-8.961294,"{4001_0, 4002_0}",15,"{4001_0_3, 4002_0_3}",1502
010027,,Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),38.753259,-8.95813,{4001_0},15,{4001_0_3},1502
010028,,Alcochete ( Rua Carlos M Rodrigo Francisco 408 ),38.753307,-8.958037,{4001_0},15,{4001_0_3},1502
010029,,Alcochete ( Rua Láparo ) Supermercado,38.751255,-8.956741,{4001_0},15,{4001_0_3},1502
010030,,Alcochete ( Rua Láparo ) Supermercado,38.751242,-8.956625,{4001_0},15,{4001_0_3},1502
010031,,Alcochete ( Rua Láparo ) Estaleiro Municipal,38.749842,-8.953465,{4001_0},15,{4001_0_3},1502
010032,,Alcochete ( Rua Láparo ) Estaleiro Municipal,38.749911,-8.953472,{4001_0},15,{4001_0_3},1502
010033,,Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),38.748189,-8.951511,{4001_0},15,{4001_0_3},1502
010034,,Alcochete ( Cruzamento Entre ( Rua Láparo ) E Rua Bracieira ),38.748278,-8.951503,{4001_0},15,{4001_0_3},1502
010035,,Alcochete ( Lagoa Láparo ),38.746343,-8.948745,{4001_0},15,{4001_0_3},1502
010036,,Alcochete ( Lagoa Láparo ),38.745936,-8.948375,{4001_0},15,{4001_0_3},1502
010037,,Parque Industrial Batel ( Rua Alfazemas ),38.745522,-8.94605,{4001_0},15,{4001_0_3},1502
010038,,Parque Industrial Batel ( Rua Alfazemas ),38.745434,-8.945954,{4001_0},15,{4001_0_3},1502
010039,,Rua Dos Damascos,38.748707,-8.945941,{4001_0},15,{4001_0_3},1502
010040,,Rua Dos Damascos,38.748758,-8.945841,{4001_0},15,{4001_0_3},1502
010041,,Quebradas ( Supermercado ),38.751652,-8.94458,{4001_0},15,{4001_0_3},1502
010043,,Alcochete ( Avenida Barris ) Centro Saúde,38.748435,-8.964307,{4002_0},15,{4002_0_3},1502
010045,,Avenida Dos Barris - Parque Desportivo Do Valbom ( Rotunda ),38.745904,-8.96679,{4002_0},15,{4002_0_3},1502
010047,,Rua Vale Figueira ( Casas Novas ),38.740462,-8.960715,{4002_0},15,{4002_0_3},1502
